t_ms	type	attacker	attacker_team	victim	victim_team	weapon	cause	amount	victim_health	ax	az	vx	vz	dist
592	damage	bot-548	alpha	bot-786	bravo	m1911	bullet	33.00	67.00	-25.75	7.31	36.90	8.55	62.66
1085	damage	bot-787	bravo	bot-736	alpha	m24	bullet	95.00	4.60	47.40	11.08	-25.62	4.98	73.28
2193	damage	bot-761	bravo	bot-738	alpha	cz_805_bren	bullet	24.00	76.00	11.59	-0.64	-24.80	-7.01	36.94
2363	damage	bot-761	bravo	bot-738	alpha	cz_805_bren	bullet	24.00	52.00	11.59	-0.51	-24.10	-7.00	36.27
3774	damage	bot-812	bravo	bot-704	alpha	five_seven	bullet	20.00	51.36	-139.81	-27.83	-144.12	-18.49	10.29
3913	damage	bot-714	alpha	bot-812	bravo	five_seven	bullet	20.00	80.00	-143.80	-0.62	-139.81	-27.85	27.52
4032	damage	bot-704	alpha	bot-812	bravo	cz_805_bren	bullet	24.00	56.00	-144.28	-18.45	-139.82	-27.86	10.41
4032	damage	bot-812	bravo	bot-704	alpha	five_seven	bullet	20.00	31.36	-139.82	-27.86	-144.35	-18.43	10.46
4120	damage	bot-714	alpha	bot-812	bravo	five_seven	bullet	20.00	36.00	-143.81	-0.69	-139.82	-28.01	27.61
4231	damage	bot-812	bravo	bot-704	alpha	five_seven	bullet	20.00	11.36	-139.83	-28.18	-144.80	-18.26	11.10
4612	damage	bot-812	bravo	bot-706	alpha	five_seven	bullet	20.00	52.71	-139.87	-29.37	-143.51	-15.46	14.38
4950	damage	bot-712	alpha	bot-812	bravo	m1911	bullet	33.00	3.00	-144.40	-14.91	-139.93	-30.79	16.51
5133	damage	bot-704	alpha	bot-810	bravo	cz_805_bren	bullet	24.00	52.00	-146.52	-17.97	-146.25	-29.71	11.74
5299	damage	bot-704	alpha	bot-810	bravo	cz_805_bren	bullet	24.00	28.00	-146.52	-17.97	-146.53	-29.71	11.74
5385	damage	bot-548	alpha	bot-787	bravo	m1911	bullet	33.00	46.12	-24.18	7.09	45.72	11.04	70.01
5955	kill	bot-810	bravo	bot-704	alpha	cz_805_bren	bullet	24.00	0.00	-146.73	-32.51	-146.57	-17.95	14.56
6198	damage	bot-548	alpha	bot-787	bravo	m1911	bullet	33.00	13.12	-24.10	7.13	47.00	12.25	71.28
7984	damage	bot-651	alpha	bot-810	bravo	five_seven	bullet	20.00	28.51	-146.34	-18.54	-146.46	-32.90	14.36
8463	damage	bot-651	alpha	bot-815	bravo	five_seven	bullet	20.00	80.00	-146.34	-18.58	-144.29	-26.31	8.00
8664	damage	bot-651	alpha	bot-815	bravo	five_seven	bullet	20.00	60.00	-146.35	-18.64	-144.33	-26.38	7.99
8664	damage	bot-815	bravo	bot-651	alpha	cz_805_bren	bullet	24.00	59.65	-144.33	-26.38	-146.35	-18.64	8.00
9167	kill	bot-802	alpha	bot-815	bravo	m24	bullet	95.00	0.00	-144.36	9.19	-143.25	-27.62	36.83
11882	damage	bot-780	bravo	bot-749	alpha	five_seven	bullet	20.00	52.91	11.10	-1.41	-21.08	12.16	34.92
13999	damage	bot-816	bravo	bot-730	alpha	cz_805_bren	bullet	24.00	48.55	-146.77	-33.86	-147.07	-17.62	16.25
14118	damage	bot-548	alpha	bot-784	bravo	m1911	bullet	33.00	66.56	-20.36	5.87	49.26	11.95	69.89
14118	damage	bot-816	bravo	bot-730	alpha	cz_805_bren	bullet	24.00	24.55	-146.77	-33.86	-147.05	-17.35	16.52
14257	damage	bot-730	alpha	bot-810	bravo	five_seven	bullet	20.00	52.69	-147.02	-17.08	-147.31	-31.46	14.37
14257	damage	bot-816	bravo	bot-730	alpha	cz_805_bren	bullet	24.00	0.55	-146.77	-33.86	-146.91	-16.80	17.06
14508	damage	bot-548	alpha	bot-784	bravo	m1911	bullet	33.00	33.56	-20.38	5.88	48.66	11.71	69.28
14793	damage	bot-816	bravo	bot-659	alpha	cz_805_bren	bullet	24.00	72.49	-146.68	-33.93	-146.33	-18.49	15.44
14926	damage	bot-548	alpha	bot-784	bravo	m1911	bullet	33.00	0.56	-20.40	5.91	49.80	12.61	70.52
14926	damage	bot-816	bravo	bot-659	alpha	cz_805_bren	bullet	24.00	48.49	-146.69	-33.91	-146.33	-18.53	15.39
15064	damage	bot-816	bravo	bot-659	alpha	cz_805_bren	bullet	24.00	24.49	-146.69	-33.90	-146.30	-18.02	15.89
15178	kill	bot-787	bravo	bot-736	alpha	m24	bullet	95.00	0.00	50.39	13.22	-19.75	2.90	70.90
15242	damage	bot-780	bravo	bot-796	alpha	five_seven	bullet	20.00	52.63	11.46	-0.89	-14.66	12.41	29.32
15242	damage	bot-788	bravo	bot-796	alpha	five_seven	bullet	20.00	32.63	12.84	-2.05	-14.66	12.41	31.07
15242	damage	bot-816	bravo	bot-659	alpha	cz_805_bren	bullet	24.00	0.49	-146.70	-33.93	-146.27	-17.51	16.43
15473	damage	bot-780	bravo	bot-796	alpha	five_seven	bullet	20.00	12.63	11.49	-0.86	-14.90	12.63	29.64
15473	kill	bot-788	bravo	bot-796	alpha	five_seven	bullet	20.00	0.00	12.85	-2.05	-14.90	12.63	31.39
19039	damage	bot-788	bravo	bot-793	alpha	five_seven	bullet	20.00	52.04	12.14	-1.07	-26.29	-7.21	38.92
19382	damage	bot-548	alpha	bot-777	bravo	m1911	bullet	33.00	60.89	-20.22	5.56	34.43	8.07	54.71
19382	damage	bot-788	bravo	bot-793	alpha	five_seven	bullet	20.00	32.04	12.23	-1.04	-26.53	-7.44	39.28
19536	damage	bot-788	bravo	bot-793	alpha	five_seven	bullet	20.00	12.04	12.26	-1.03	-26.80	-7.70	39.62
19676	kill	bot-788	bravo	bot-793	alpha	five_seven	bullet	20.00	0.00	12.29	-1.03	-27.20	-8.10	40.11
20182	damage	bot-816	bravo	bot-706	alpha	cz_805_bren	bullet	24.00	48.99	-147.19	-33.37	-146.57	-17.71	15.68
21550	damage	bot-787	bravo	bot-548	alpha	m24	bullet	95.00	0.65	50.27	12.74	-17.18	5.56	67.83
21660	damage	bot-816	bravo	bot-712	alpha	cz_805_bren	bullet	24.00	76.00	-147.29	-33.41	-146.33	-18.49	14.95
21809	damage	bot-816	bravo	bot-712	alpha	cz_805_bren	bullet	24.00	52.00	-147.31	-33.39	-146.33	-18.51	14.91
21948	damage	bot-816	bravo	bot-712	alpha	cz_805_bren	bullet	24.00	28.00	-147.32	-33.42	-146.32	-18.28	15.17
22220	damage	bot-816	bravo	bot-712	alpha	cz_805_bren	bullet	24.00	4.00	-147.35	-33.41	-146.12	-17.36	16.10
23381	kill	bot-788	bravo	bot-548	alpha	five_seven	bullet	20.00	0.00	10.49	-0.86	-21.45	10.22	33.80
25555	damage	bot-810	bravo	bot-740	alpha	cz_805_bren	bullet	24.00	48.14	-143.13	-34.28	-147.76	-19.89	15.11
25555	damage	bot-816	bravo	bot-740	alpha	cz_805_bren	bullet	24.00	24.14	-147.42	-33.75	-147.76	-19.89	13.86
25686	damage	bot-810	bravo	bot-740	alpha	cz_805_bren	bullet	24.00	0.14	-143.12	-34.33	-147.75	-20.10	14.97
25686	kill	bot-816	bravo	bot-740	alpha	cz_805_bren	bullet	24.00	0.00	-147.42	-33.75	-147.75	-20.10	13.66
27878	kill	bot-810	bravo	bot-712	alpha	cz_805_bren	bullet	24.00	0.00	-143.51	-32.82	-146.74	-18.02	15.15
28549	damage	bot-816	bravo	bot-659	alpha	cz_805_bren	bullet	24.00	55.89	-147.55	-33.26	-147.61	-17.07	16.19
28700	damage	bot-816	bravo	bot-659	alpha	cz_805_bren	bullet	24.00	31.89	-147.56	-33.31	-147.62	-17.06	16.25
28843	damage	bot-816	bravo	bot-659	alpha	cz_805_bren	bullet	24.00	7.89	-147.58	-33.37	-147.62	-17.06	16.31
28994	kill	bot-816	bravo	bot-659	alpha	cz_805_bren	bullet	24.00	0.00	-147.58	-33.38	-147.67	-17.03	16.35
33336	kill	bot-753	alpha	bot-784	bravo	m24	bullet	95.00	0.00	-8.97	12.72	44.62	9.76	53.68
34303	kill	bot-777	bravo	bot-757	alpha	m24	bullet	95.00	0.00	24.83	5.88	-10.28	5.51	35.12
34401	damage	bot-822	bravo	bot-651	alpha	five_seven	bullet	20.00	61.80	-133.72	-32.63	-132.57	-1.84	30.81
37136	damage	bot-811	alpha	bot-822	bravo	five_seven	bullet	20.00	80.00	-147.66	14.86	-133.66	-32.91	49.78
37558	damage	bot-822	bravo	bot-811	alpha	five_seven	bullet	20.00	80.00	-133.65	-32.92	-147.66	14.80	49.73
37798	damage	bot-822	bravo	bot-811	alpha	five_seven	bullet	20.00	60.00	-133.65	-32.92	-147.67	14.81	49.74
38035	damage	bot-822	bravo	bot-811	alpha	five_seven	bullet	20.00	40.00	-133.62	-32.93	-147.52	14.77	49.68
38268	damage	bot-822	bravo	bot-811	alpha	five_seven	bullet	20.00	20.00	-133.62	-32.93	-147.13	14.87	49.67
40269	damage	bot-783	bravo	bot-753	alpha	cz_805_bren	bullet	24.00	48.14	17.56	2.58	-4.68	18.54	27.38
40538	damage	bot-783	bravo	bot-753	alpha	cz_805_bren	bullet	24.00	24.14	17.58	2.58	-5.15	18.70	27.87
40659	damage	bot-806	alpha	bot-822	bravo	cz_805_bren	bullet	24.00	56.00	-147.90	14.74	-133.57	-32.93	49.78
40779	damage	bot-783	bravo	bot-753	alpha	cz_805_bren	bullet	24.00	0.14	17.58	2.58	-5.50	18.95	28.30
41955	damage	bot-738	alpha	bot-783	bravo	five_seven	bullet	20.00	75.93	7.94	-8.00	17.62	3.82	15.27
43641	kill	bot-787	bravo	bot-749	alpha	m24	bullet	95.00	0.00	43.44	11.28	-12.68	2.84	56.75
44990	damage	bot-738	alpha	bot-777	bravo	five_seven	bullet	20.00	40.89	8.00	-8.67	24.53	11.16	25.81
46491	damage	bot-738	alpha	bot-786	bravo	five_seven	bullet	20.00	47.00	8.53	-8.41	17.71	3.63	15.13
47395	damage	bot-738	alpha	bot-782	bravo	five_seven	bullet	20.00	76.94	8.73	-8.34	16.14	3.61	14.07
48337	damage	bot-738	alpha	bot-786	bravo	five_seven	bullet	20.00	27.00	8.90	-8.37	16.65	2.61	13.44
48512	damage	bot-738	alpha	bot-786	bravo	five_seven	bullet	20.00	7.00	8.89	-8.42	17.22	3.18	14.28
48551	damage	bot-786	bravo	bot-738	alpha	cz_805_bren	bullet	24.00	49.21	17.35	3.32	8.89	-8.43	14.48
54746	damage	bot-827	alpha	bot-785	bravo	cz_805_bren	bullet	24.00	76.00	-31.40	-20.53	-4.20	-3.96	31.85
54995	damage	bot-827	alpha	bot-785	bravo	cz_805_bren	bullet	24.00	52.00	-31.35	-20.46	-4.43	-3.88	31.62
55213	damage	bot-785	bravo	bot-827	alpha	cz_805_bren	bullet	24.00	76.00	-4.14	-3.86	-31.33	-20.43	31.85
55358	damage	bot-753	alpha	bot-765	bravo	five_seven	bullet	20.00	52.28	-2.05	17.00	1.55	5.52	12.03
55512	damage	bot-753	alpha	bot-765	bravo	five_seven	bullet	20.00	32.28	-2.04	17.02	2.23	4.91	12.84
55672	damage	bot-753	alpha	bot-765	bravo	five_seven	bullet	20.00	13.36	-2.02	17.07	2.38	5.09	12.75
55772	damage	bot-761	bravo	bot-827	alpha	cz_805_bren	bullet	24.00	52.00	3.03	-3.30	-31.24	-20.04	38.14
55848	damage	bot-798	alpha	bot-810	bravo	cz_805_bren	bullet	24.00	48.03	-145.76	18.49	-146.26	-28.98	47.47
55911	damage	bot-761	bravo	bot-827	alpha	cz_805_bren	bullet	24.00	28.00	3.02	-3.28	-31.30	-20.18	38.26
55911	damage	bot-821	alpha	bot-785	bravo	cz_805_bren	bullet	24.00	33.44	-42.33	-19.08	-1.24	-3.08	44.10
56044	damage	bot-821	alpha	bot-785	bravo	cz_805_bren	bullet	24.00	12.40	-42.34	-19.07	-0.60	-2.92	44.75
56167	damage	bot-761	bravo	bot-827	alpha	cz_805_bren	bullet	24.00	4.00	3.01	-3.27	-31.54	-20.74	38.71
56327	kill	bot-761	bravo	bot-827	alpha	cz_805_bren	bullet	24.00	0.00	3.00	-3.27	-31.73	-21.09	39.04
56522	damage	bot-798	alpha	bot-826	bravo	cz_805_bren	bullet	24.00	76.00	-145.76	18.49	-147.34	-28.40	46.91
56654	damage	bot-798	alpha	bot-826	bravo	cz_805_bren	bullet	24.00	52.00	-145.76	18.49	-147.34	-28.40	46.91
56781	damage	bot-798	alpha	bot-826	bravo	cz_805_bren	bullet	24.00	28.00	-145.76	18.49	-147.13	-28.50	47.01
56907	damage	bot-798	alpha	bot-826	bravo	cz_805_bren	bullet	24.00	4.00	-145.76	18.49	-146.93	-28.55	47.05
57034	kill	bot-798	alpha	bot-826	bravo	cz_805_bren	bullet	24.00	0.00	-145.76	18.49	-146.28	-28.62	47.11
57367	damage	bot-821	alpha	bot-778	bravo	cz_805_bren	bullet	24.00	29.74	-41.24	-18.86	3.91	-4.69	47.32
57443	damage	bot-817	alpha	bot-778	bravo	cz_805_bren	bullet	24.00	5.74	-32.71	-17.65	3.82	-4.97	38.67
57481	kill	bot-821	alpha	bot-778	bravo	cz_805_bren	bullet	24.00	0.00	-41.25	-18.83	3.82	-4.97	47.15
57865	damage	bot-798	alpha	bot-818	bravo	cz_805_bren	bullet	24.00	76.00	-145.76	18.49	-146.40	-29.72	48.21
58004	damage	bot-798	alpha	bot-818	bravo	cz_805_bren	bullet	24.00	52.00	-145.76	18.49	-146.68	-30.07	48.57
58124	damage	bot-798	alpha	bot-818	bravo	cz_805_bren	bullet	24.00	28.00	-145.76	18.49	-146.69	-30.64	49.13
58635	damage	bot-783	bravo	bot-753	alpha	cz_805_bren	bullet	24.00	48.55	4.30	-1.65	-1.08	15.34	17.82
58918	damage	bot-821	alpha	bot-783	bravo	cz_805_bren	bullet	24.00	44.64	-40.57	-18.58	3.84	-0.84	47.83
59297	damage	bot-798	alpha	bot-822	bravo	cz_805_bren	bullet	24.00	48.17	-145.76	18.43	-146.19	-28.49	46.93
59675	damage	bot-798	alpha	bot-822	bravo	cz_805_bren	bullet	24.00	24.17	-145.76	18.43	-144.59	-29.53	47.98
